Name;Latitude;Longitude
Narela Terminal;28.852004;77.088059
Police Station Narela;28.853366;77.088535
Safiyabad Crossing;28.855266;77.08973
Ramdev Chowk Pithori Jhori;28.857752;77.09285600000003
Narela A-6 / CPJ College;28.857652;77.09574599999998
State Bank Of Allahbad;28.857128000000003;77.097951
Sec A-9 Narela;28.85454600000001;77.09790699999998
Sec A-9 and A-6 Narela;28.85177100000001;77.097849
A-7 Narela Sec- 10A Pocket- 66;28.849048;77.098446
Harish Chandra Hospital;28.840806;77.10202199999998
Kasturi Ram School;28.837182;77.098223
Munim Ji Ka Bagh;28.836163;77.092108
New Anaj Mandi;28.838335;77.091413
Kurani More;28.840835;77.09052700000002
Prem Nagar Narela;28.837755;77.081097
Maharaja Agrassen School;28.835906;77.07933299999998
Bharat Mata School;28.833074;77.076871
Kaushal Devi Netraheen Ashram;28.825201;77.070198
Sannoth Crossing / Ghoga Crossing;28.819549;77.06355
Delhi Jal Board Bawana;28.815305;77.057968
Jain Bekhunth Mandir;28.81187700000001;77.05411099999998
JJ Colony Bawana Crpf Camp;28.806836;77.04800999999998
Swaroop Nagar GT Road;28.758318;77.14830500000002
Libas Pur GT Road;28.750112;77.150774
Sanjay Gandhi Transport Nagar;28.7402;77.154
Mukarba Chowk;28.735084000000004;77.155874
GTK Depot;28.731117;77.158967
Jahangirpuri GT Road (Metro Station);28.7257;77.163
Mahindra Park;28.721715000000003;77.166162
Sarai Pipal Thala;28.7206;77.1671
Adarsh Nagar Metro Station;28.717467;77.169917
New Sabzi Mandi;28.714415;77.172422
Azadpur;28.7063;77.1795
Bara Bagh;28.7017;77.1831
Gujranwala Town;28.6995;77.1849
Telephone Exchange;28.6971;77.1869
State Bank Colony;28.6954;77.1883
Gurudwara Nanak Pyau;28.691;77.192
Rana Pratap Bagh;28.6882666666667;77.1937
Gur Mandi;28.6848;77.1963
Roop Nagar / Shakti Nagar (GT Road);28.682832;77.197614
Clock Tower;28.677617;77.201567
Roshnara Bagh;28.6733;77.2018
Roshnara Road;28.669249;77.20455
Ice Factory (Roshanara Road);28.66745;77.20765
St Stephen Hospital;28.6674;77.2143
Tees Hazari Court;28.6668;77.2188
ISBT Nityanand Marg;28.668342;77.225091
ISBT Bridge;28.6692730781321;77.22821832178809
Metro Train Depot;28.673867;77.241633
Metro Train Depot;28.674383;77.243117
Shyam Giri Mandir;28.6741;77.24775
Shastri Park;28.673083;77.25405
Shastri Park;28.6726;77.2571
Dharampura;28.67085;77.262183
Seelampur Metro Station;28.670783;77.265423
Seelam Pur Petrol Pump;28.672117;77.27346700000002
Welcome Metro Station;28.67278300000001;77.27715
Shahdara (Shyam Lal College);28.6736;77.28353299999998
Mansarovar Park Metro Station;28.6759;77.2999
Telephone Exchange;28.676067;77.30925
Jhilmil Crossing / Dilshad Garden GT Road;28.67615;77.311883
Shahdra Border;28.6758;77.3231
